Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Кондиционер мобильный Electrolux EACM-22 JK/N3,Electrolux,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1421707,EACM-22 JK/N3,131990.0,131990.0,105592.0,ожидается поставка,{}
Водонагреватель проточный Electrolux Taptronic S,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные электрические,НС-1246477,Taptronic S,4690.0,4690.0,3893.0,ожидается поставка,{}
Водонагреватель Electrolux EWH 10 Q-bic O,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1147760,EWH 10 Q-bic O,7390.0,7390.0,6282.0,132,{'ррц Лакинск': '132'}
Вентилятор вытяжной серии Rainbow EAFR-120T beige с таймером,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1161715,НС-1161715,4890.0,4650.0,3423.0,ожидается поставка,{}
Вентилятор вытяжной серии Rainbow EAFR-120T white с таймером,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1127189,EAFR-120Twhite,6390.0,6390.0,4473.0,25,{'фрц Киржач': '25'}
Каминокомплект:Очаг Electrolux EFP/P-3020LS с порталом Vivo 30 белый,Electrolux,Тепловое оборудование/Электрические камины/Каминокомплекты,НС-1309559,Set Vivo 30,61780.0,61780.0,45099.4,ожидается поставка,{}
Мат Electrolux EEM 2-150-4 (комплект теплого пола),Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательные маты для теплого пола,НС-1105890,EEM 2-150-4 комплект,12730.0,12730.0,7256.0,ожидается поставка,{}
Электропанель Electrolux AirPlinth ECH/AG–500 PE3,Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1412702,ECH/AG–500 PE3,6990.0,6990.0,5941.5,1,{'фрц Киржач': '1'}
Комплект Electrolux Rapid Transformer с блоком управления и шасси ECH/R-2000 T-TUE4 (электронный),Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1584144,ECH/R-2000 T-TUE4-EFT/RR,12670.0,12670.0,9755.9,46,{'фрц Киржач': '46'}
Водонагреватель Electrolux EWH 50 DRYver,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1186669,EWH 50 DRYver,11790.0,11790.0,9432.0,ожидается поставка,{}
